SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,AGE,DURATION
0,0,0,0,1,0,0,0,4,4,4,77,77,1,0,1,0,0,0,0,0,77,3,2,77,2,2,77,3,14,22.86666667
0,1,0,1,1,0,0,0,2,2,3,1,3,1,1,0,0,1,0,1,0,2,2,3,1,3,3,2,2,15,17.85
0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , ,13,12.31666667
0,1,1,1,1,0,1,0,4,4,3,1,4,0,0,0,0,1,0,1,0,2,1,3,1,2,1,3,3,17,9.733333333
0,0,1,0,1,0,0,0,4,4,4,3,4,1,0,1,0,0,0,0,0,3,2,3,3,2,1,2,2,15,14.63333333
0,1,0,1,1,0,0,0,4,3,1,2,4,0,0,0,0,0,0,0,1,2,2,1,2,2,3,3,2,13,11.15
1,0,0,1,1,0,0,0,2,3,2,2,3,1,1,1,0,1,1,1,0,1,1,1,1,3,2,3,3,17,14
1,1,1,1,0,0,0,0,1,1,1,2,1,1,1,1,0,1,0,1,0,1,2,1,2,3,2,1,1,17,31.11666667
0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , ,14,18.9
1,1,0,1,1,1,0,0,3,3,3,3,3,0,0,0,1,0,0,1,0,3,3,3,3,3,3,3,3,13,18.88333333
0,1,1,1,1,0,0,0,2,1,2,2,2,1,0,1,0,0,0,1,0,2,2,1,2,3,2,1,1,13,18.01666667
0,1,0,1,1,0,0,0,3,2,2,4,4,0,0,1,0,0,0,0,0,3,3,3,2,3,3,3,3,15,8.1
1,1,0,1,1,1,0,0,1,2,1,2,2,1,1,1,0,1,0,1,0,1,1,1,2,2,2,2,1,15,24.35
0,1,1,1,1,0,0,0,1,2,1,1,3,1,1,1,0,1,0,1,0,2,2,1,1,2,1,1,1,14,13.86666667
0,1,1,0,1,0,0,0,3,4,3,3,4,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,17,12.98333333
1,1,1,1,1,0,0,0,2,3,3,3,4,1,1,0,0,0,0,0,0,3,2,2,3,3,3,3,2,16,29.43333333
0,0,0,0,1,0,0,0,3,3,4,4,4,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,16,13.11666667
0,1,1,1,1,0,0,0,1,4,1,2,4,0,0,0,0,0,0,1,0,2,2,1,2,3,1,2,2,14,16.31666667
1,1,0,1,0,0,0,0,4,2,2,3,3,1,0,0,0,0,0,0,0,2,2,2,2,3,2,2,2,15,11.26666667
1,1,0,1,1,0,0,0,3,4,4,2,4,0,0,0,0,0,0,0,1,1,2,1,2,2,1,3,2,15,12.16666667
0,1,0,1,1,0,0,0,2,2,2,3,2,1,0,1,0,1,0,1,0,2,2,2,2,3,2,2,2,13,12.05
0,0,0,1,0,0,1,0,2,4,1,3,4,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,16,4.066666667
0,1,0,1,1,0,0,0,3,2,4,2,2,0,0,1,0,0,0,0,0,2,1,2,2,3,3,3,3,15,15.95
0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , ,14,7.066666667
0,0,0,0,1,0,0,0,3,2,1,2,4,1,0,0,0,0,0,1,0,1,2,1,1,3,3,1,2,13,10.08333333
0,1,1,0,1,0,0,0,4,3,2,3,4,0,0,0,0,0,0,0,1,3,3,2,2,3,2,3,2,15,14.1
1,1,1,1,1,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,0,3,2,2,2,1,1,2,1,14,5.766666667
0,1,1,1,1,0,0,0,2,4,3,2,3,1,1,1,0,1,0,1,0,2,2,3,1,2,3,3,3,17,10.46666667
0,0,0,0,1,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,1,3,3,3,3,2,2,2,2,16,8.416666667
