ISO3,ISO3_2,col,cnl,lp,cl
ABW,ABW,1,0.5227,0.5361,0.6863
ABW,AFG,0,0,0.0391,0.013
ABW,AGO,0,0,0.0765,0.0255
ABW,AIA,1,0.0062,0.1954,0.4005
ABW,ALA,0,0,0.0722,0.0241
ABW,ALB,0,0,0.0651,0.0217
ABW,AND,0,0.0598,0.1636,0.0745
ABW,ANT,1,0.336,0.4025,0.5795
ABW,ARE,1,0.0002,0.0111,0.3371
ABW,ARG,0,0.1464,0.1716,0.106
ABW,ARM,0,0,0.0727,0.0242
ABW,ASM,1,0.0032,0.0057,0.3363
ABW,ATG,1,0.0457,0.1694,0.405
ABW,AUS,1,0.0703,0.1319,0.4007
ABW,AUT,0,0.0007,0.0908,0.0305
ABW,AZE,0,0,0.0026,0.0009
ABW,BDI,0,0,0,0
ABW,BEL,1,0.0289,0.1282,0.3857
ABW,BEN,0,0,0.0002,0.0001
ABW,BFA,0,0,0.0016,0.0005
ABW,BGD,0,0,0.0478,0.0159
ABW,BGR,0,0,0.0486,0.0162
ABW,BHR,1,0.0011,0.0122,0.3378
ABW,BHS,1,0.0428,0.1704,0.4044
ABW,BIH,0,0,0.0532,0.0177
ABW,BLM,0,0.001,0.1499,0.0503
ABW,BLR,0,0,0.0585,0.0195
ABW,BLZ,1,0.0775,0.166,0.4145
ABW,BMU,1,0.0782,0.1476,0.4086
ABW,BOL,0,0.0969,0.1109,0.0693
ABW,BRA,0,0.0004,0.1603,0.0535
ABW,BRB,1,0.0412,0.1727,0.4046
ABW,BRN,1,0.0018,0.0034,0.3351
ABW,BTN,1,0,0.0094,0.3365
ABW,BWA,1,0.0019,0.0041,0.3353
ABW,CAF,0,0,0.0516,0.0172
ABW,CAN,1,0.0497,0.1221,0.3906
ABW,CCK,0,0.0136,0.3152,0.1096
ABW,CHE,0,0.0062,0.1061,0.0374
ABW,CHL,0,0.1565,0.1776,0.1114
ABW,CHN,0,0,0,0
ABW,CIV,0,0,0.0004,0.0001
ABW,CMR,1,0,0,0.3333
ABW,COD,0,0,0.0367,0.0122
ABW,COG,0,0,0.1505,0.0502
